rule_id,risk_code,level1_대분류,level2_중분류,level3_소분류,risk_level_위험도,rule_name_룰명,rule_type_유형,pattern_패턴,keywords_키워드,regex_정규식,explanation_설명,suggestion_제안,is_active_활성,ruleset_version_룰셋버전,source_출처
33,RISK_TEST_01,test01,test02,test03,low,test,keyword,"test, TEST","test, TEST",,test입니다.,test999,Y,v1.0.0,DB
25,RISK_PRICE_EXCESSIVE,가격,"과도 할인","50% 이상",high,"50% 이상",keyword,"반값 이벤트","반값 이벤트",,"할인율 50% 이상은 고위험으로 제한될 수 있습니다.","할인율을 50% 미만으로 하거나, 조건·기간을 명확히 하세요.",Y,v1.0.0,DB
18,RISK_EXPERIENCE_NARRATIVE,경험담,서사,"사례 스토리",medium,"사례 스토리",keyword,"씨 사례, 고객 경험담, 치료 스토리","씨 사례, 고객 경험담, 치료 스토리",,"개별 사례 스토리는 과장·오인 소지가 있을 수 있습니다.","사례는 참고 수준으로만 안내하세요.",Y,v1.0.0,DB
17,RISK_EXPERIENCE_BEFORE_AFTER,경험담,전후,"전후 사례",medium,"전후 사례",keyword,"before, after, 시술 전후, 변화 비교","before, after, 시술 전후, 변화 비교",,"전후 사례는 전형성이 없으면 제한될 수 있습니다.","전형적 사례임을 명시하거나 일반화된 표현을 사용하세요.",Y,v1.0.0,DB
16,RISK_EXPERIENCE_REVIEW,경험담,후기,"환자 후기",medium,"환자 후기",keyword,"실제 후기, 리얼 후기, 만족 후기, 환자 후기","실제 후기, 리얼 후기, 만족 후기, 환자 후기",,"환자 후기·경험담은 전형성·과장 여부에 따라 제한될 수 있습니다.","개인 사례보다 일반화된 표현을 사용하세요.",Y,v1.0.0,DB
13,RISK_FEAR_URGENT,공포조성,시급성,"시간 압박",medium,"시간 압박",keyword,"지금 안 하면 늦습니다, 더 늦기 전에","지금 안 하면 늦습니다, 더 늦기 전에",,"시간 압박·시급성 유도는 제한될 수 있습니다.","과도한 압박 표현을 줄이세요.",Y,v1.0.0,DB
12,RISK_FEAR_DISEASE,공포조성,"질병 과장","위험 강조",high,"위험 강조",keyword,"방치하면 위험, 방치하면, 악화됩니다, 심각한 문제","방치하면 위험, 방치하면, 악화됩니다, 심각한 문제",,"공포를 조장하는 표현은 제한됩니다.","공포 조성 대신 ""정기 검진 권유"" 등 건전한 안내로 대체하세요.",Y,v1.0.0,DB
3,RISK_SUPERLATIVE_MARKETING,과장표현,"마케팅 수식","극대화 수식어",medium,"극대화 수식어",keyword,"끝판왕, 명품, 마스터, 프리미엄, 하이엔드, 올인원, 토탈 솔루션","끝판왕, 명품, 마스터, 프리미엄, 하이엔드, 올인원, 토탈 솔루션",,"극대화 수식어는 과장으로 제한될 수 있습니다.","구체적 기능·효과로 대체하세요.",Y,v1.0.0,DB
2,RISK_SUPERLATIVE_RANK,과장표현,"순위 주장","지역/업계 1위",high,"지역/업계 1위",keyword,"1위, 1등, 대표, 최다, 가장 많이 선택","1위, 1등, 대표, 최다, 가장 많이 선택",,"순위·대표성 주장은 근거가 필요합니다.","순위 근거(조사 기관·기간)를 명시하세요.",Y,v1.0.0,DB
1,RISK_SUPERLATIVE_ABSOLUTE,과장표현,최상급,"절대적 최상급",high,"절대적 최상급",keyword,"최고, 최상, 유일, 최대, 최대 효과, 완벽, 궁극, 종결, 끝판, 넘사벽","최고, 최상, 유일, 최대, 최대 효과, 완벽, 궁극, 종결, 끝판, 넘사벽",,"절대적 최상급 표현은 광고법상 제한될 수 있습니다.","""최고"" 등을 ""우수한"" 또는 구체적 근거로 대체하세요.",Y,v1.0.0,DB
4,RISK_SUPERLATIVE_FIRST,과장표현,"최초 주장",최초·유일성,high,최초·유일성,keyword,"최초, 처음 선보이는, 유일","최초, 처음 선보이는, 유일",,"최초·유일성 주장은 입증이 필요합니다.","근거(특허·출처)를 명시하세요.",Y,v1.0.0,DB
32,RISK_INSURANCE_GUARANTEE,보험오인,"보장 단정","지급 보장",high,"지급 보장",keyword,"보험금 보장, 100% 지급, 무조건 지급","보험금 보장, 100% 지급, 무조건 지급",,"보험금 지급 보장 표현은 제한됩니다.","지급 조건·한도를 명시하세요.",Y,v1.0.0,DB
30,RISK_INSURANCE_FREE,보험오인,"비용 경감","무료·환급 오인",high,"무료·환급 오인",keyword,"보험으로 무료, 본인부담 없음, 0원 치료","보험으로 무료, 본인부담 없음, 0원 치료",,"보험으로 무료·0원 등은 조건에 따라 오인을 줄 수 있습니다.","본인 부담 범위를 명시하세요.",Y,v1.0.0,DB
29,RISK_INSURANCE_COVERAGE,보험오인,실손·급여,"보험 적용 암시",medium,"보험 적용 암시",keyword,"실손보험 적용, 실비 가능, 보험 처리, 급여 적용","실손보험 적용, 실비 가능, 보험 처리, 급여 적용",,"보험 적용은 조건·한도가 다를 수 있어 오인이 있을 수 있습니다.","""가입 조건에 따라 상이"" 등 조건을 함께 안내하세요.",Y,v1.0.0,DB
31,RISK_INSURANCE_SIMPLIFY,보험오인,"절차 단순화","자동 처리 암시",medium,"자동 처리 암시",keyword,"보험 자동 처리, 서류 필요 없음, 알아서 처리","보험 자동 처리, 서류 필요 없음, 알아서 처리",,"보험 절차 단순화 표현은 오인을 줄 수 있습니다.","필요 서류·절차를 안내하세요.",Y,v1.0.0,DB
20,RISK_COMPARISON_METHOD,비교,"시술 비교","방식 우월",medium,"방식 우월",keyword,"우리만 가능한, 유일한 방식","우리만 가능한, 유일한 방식",,"방식·시술 우월 주장은 근거가 필요합니다.","근거를 명시하세요.",Y,v1.0.0,DB
19,RISK_COMPARISON_OTHER,비교,"타기관 비교","상대 우위",medium,"상대 우위",keyword,"다른 병원과 달리, 일반 병원과는, 다른 곳보다","다른 병원과 달리, 일반 병원과는, 다른 곳보다",,"타 기관과의 비교는 객관적 근거가 필요합니다.","객관적 데이터가 있을 때만 비교하고 근거를 명시하세요.",Y,v1.0.0,DB
21,RISK_COMPARISON_DISPARAGE,비방,"부정 표현",비하,high,비하,keyword,"아무데서나 받지 마세요","아무데서나 받지 마세요",,"타 기관 비하·비방 표현은 제한됩니다.","비방 표현을 제거하세요.",Y,v1.0.0,DB
14,RISK_APPEARANCE_SHAMING,외모조장,"외모 비하","신체 비하",high,"신체 비하",keyword,"코끼리 다리, 뼈벅지, 흉한","코끼리 다리, 뼈벅지, 흉한",,"신체·외모 비하는 제한됩니다.","비하 표현을 제거하세요.",Y,v1.0.0,DB
